Frame,Class,Class_ID,X,Y
2,Valentina,110,347.2588,391.4727
2,Lapu-Lapu,36,621.947,685.3868
2,Minotaur,18,271.8951,502.0066
2,Fredrinn,116,378.0799,607.4699
2,Chou,25,436.4615,598.0977
2,Novaria,119,288.0734,416.9795
2,Masha,87,658.0293,603.8656
2,Fanny,16,450.6331,460.8577
2,Claude,64,82.3729,44.1141
4,Lapu-Lapu,36,620.5214,685.2148
4,Valentina,110,347.0827,391.3374
4,Minotaur,18,270.702,502.0093
4,Fredrinn,116,377.1517,607.4811
4,Novaria,119,289.2572,415.8876
4,Chou,25,436.1547,598.5176
4,Masha,87,658.4207,604.7495
4,Fanny,16,450.6938,461.571
4,Claude,64,83.5727,43.5098
6,Novaria,119,290.4631,413.4354
6,Lapu-Lapu,36,617.3076,685.7766
6,Valentina,110,343.1466,391.1166
6,Chou,25,437.3679,599.4918
6,Fredrinn,116,374.0587,607.7021
6,Masha,87,656.7196,605.5452
6,Minotaur,18,268.0779,499.759
6,Fanny,16,450.6772,461.3467
6,Claude,64,87.2442,41.1267
8,Novaria,119,291.1977,411.692
8,Chou,25,438.4253,599.6942
8,Fredrinn,116,373.9102,606.5135
8,Lapu-Lapu,36,615.7925,686.201
8,Valentina,110,342.2309,391.0743
8,Masha,87,655.0527,605.638
8,Minotaur,18,267.2549,497.892
8,Fanny,16,450.6088,461.2733
8,Claude,64,86.923,40.708
10,Novaria,119,291.3259,411.1688
10,Fredrinn,116,375.3097,605.6573
10,Chou,25,440.8357,598.7912
10,Masha,87,653.4912,605.949
10,Lapu-Lapu,36,613.9602,686.8
10,Valentina,110,342.785,390.7867
10,Minotaur,18,266.1619,497.7759
10,Claude,64,86.6144,41.835
10,Fanny,16,450.7103,461.2713
12,Novaria,119,291.6161,411.3346
12,Fredrinn,116,378.3968,604.945
12,Minotaur,18,264.625,495.7919
12,Chou,25,442.3614,598.5894
12,Claude,64,85.7269,38.2275
12,Valentina,110,342.4378,391.162
12,Fanny,16,450.5296,461.4343
12,Lapu-Lapu,36,613.2487,688.325
12,Masha,87,651.4501,606.4353
14,Novaria,119,291.9781,411.5117
14,Minotaur,18,264.0598,494.1749
14,Chou,25,443.484,599.0133
14,Fredrinn,116,379.6594,603.649
14,Claude,64,85.4211,37.0176
14,Lapu-Lapu,36,613.3174,688.6177
14,Valentina,110,342.3623,391.169
14,Fanny,16,450.6473,461.4824
14,Masha,87,649.8692,606.4002
16,Novaria,119,292.2026,411.0282
16,Chou,25,444.691,598.0254
16,Minotaur,18,262.9185,493.2116
16,Fredrinn,116,380.9789,603.4258
16,Lapu-Lapu,36,614.9663,688.9298
16,Claude,64,84.7432,37.4067
16,Fanny,16,450.277,461.7067
16,Valentina,110,342.5608,391.0159
16,Masha,87,648.0313,606.3833
18,Chou,25,445.3349,598.3636
18,Minotaur,18,261.1558,491.4378
18,Novaria,119,292.1968,411.1698
18,Fredrinn,116,382.1517,604.8725
18,Lapu-Lapu,36,616.6534,689.3957
18,Fanny,16,446.4452,464.4895
18,Masha,87,646.503,606.6523
18,Claude,64,84.0825,36.8833
18,Valentina,110,342.4951,391.3727
20,Chou,25,446.4863,598.6059
20,Fanny,16,440.6754,468.4447
20,Minotaur,18,259.9645,489.897
20,Novaria,119,291.5326,410.9153
20,Fredrinn,116,384.0664,606.1277
20,Lapu-Lapu,36,618.6738,688.4152
20,Masha,87,644.838,607.5883
20,Claude,64,85.9917,38.8135
20,Valentina,110,341.9318,391.4353
22,Chou,25,446.7551,598.3032
22,Fanny,16,438.1005,471.4589
22,Novaria,119,290.8992,411.4357
22,Fredrinn,116,384.214,607.4928
22,Minotaur,18,259.5515,489.2206
22,Lapu-Lapu,36,619.5259,688.043
22,Masha,87,644.634,607.5762
22,Claude,64,86.2452,39.0588
22,Valentina,110,341.9469,391.524
24,Fredrinn,116,387.5932,607.5836
24,Chou,25,448.0475,598.0695
24,Masha,87,641.2972,607.7588
24,Novaria,119,287.8928,411.0899
24,Minotaur,18,259.5047,486.7074
24,Fanny,16,432.9981,478.089
24,Lapu-Lapu,36,617.6883,687.6031
24,Valentina,110,341.5988,391.3831
24,Claude,64,87.6011,40.4746
26,Masha,87,640.276,607.7055
26,Chou,25,448.7672,597.8756
26,Fredrinn,116,388.2045,607.8864
26,Fanny,16,432.3654,479.2632
26,Minotaur,18,259.7394,485.625
26,Valentina,110,341.7944,391.5615
26,Novaria,119,286.7325,410.9758
26,Lapu-Lapu,36,617.5992,687.1726
26,Claude,64,87.8444,40.1127
28,Valentina,110,343.5782,391.7113
28,Masha,87,637.8912,607.5438
28,Fanny,16,428.9925,483.5264
28,Novaria,119,286.354,412.3493
28,Fredrinn,116,390.2796,606.905
28,Chou,25,450.6269,598.2072
28,Minotaur,18,260.667,484.0789
28,Lapu-Lapu,36,614.7802,687.7043
28,Claude,64,90.3446,42.2906
30,Valentina,110,344.5109,391.8607
30,Fanny,16,425.1515,486.9774
30,Novaria,119,284.9819,412.8333
30,Fredrinn,116,392.7766,607.0995
30,Masha,87,637.0584,608.1377
30,Lapu-Lapu,36,613.3277,687.9928
30,Chou,25,452.8009,597.8011
30,Minotaur,18,261.3721,482.373
30,Claude,64,91.1611,43.2337
32,Fanny,16,421.9643,491.8585
32,Valentina,110,345.31,392.3836
32,Novaria,119,283.7253,413.7972
32,Chou,25,454.9934,598.1938
32,Lapu-Lapu,36,612.3038,688.7559
32,Fredrinn,116,398.3226,607.3821
32,Minotaur,18,262.2018,482.1864
32,Masha,87,635.3471,609.3348
32,Claude,64,91.8416,43.3862
34,Valentina,110,346.7552,392.2071
34,Fanny,16,418.0416,494.3899
34,Novaria,119,282.8291,414.5366
34,Chou,25,455.8216,597.9913
34,Lapu-Lapu,36,612.7425,689.0185
34,Minotaur,18,263.6743,481.6139
34,Fredrinn,116,403.6809,606.5864
34,Masha,87,633.3111,609.1311
34,Claude,64,93.7256,45.7997
36,Valentina,110,348.8442,392.4798
36,Chou,25,458.0841,598.0945
36,Fanny,16,415.7609,498.8923
36,Lapu-Lapu,36,613.9576,689.1223
36,Minotaur,18,263.8723,480.3274
36,Novaria,119,282.4462,416.0013
36,Masha,87,632.3182,609.0383
36,Claude,64,94.4192,46.7024
36,Wanwan,88,25.6271,96.7772
36,Fredrinn,116,410.8856,605.4617
38,Chou,25,457.8226,598.1317
38,Minotaur,18,264.1237,479.7787
38,Lapu-Lapu,36,615.8249,689.3124
38,Valentina,110,349.4609,392.7412
38,Fanny,16,414.0296,507.3995
38,Novaria,119,280.4337,415.614
38,Claude,64,95.9693,48.0378
38,Masha,87,630.2811,608.4308
38,Wanwan,88,25.6967,95.9217
38,Fredrinn,116,411.4054,606.149
40,Chou,25,459.4699,598.4534
40,Lapu-Lapu,36,618.9514,689.3569
40,Minotaur,18,264.2223,477.8348
40,Valentina,110,349.97,393.9261
40,Fanny,16,411.4301,520.177
40,Claude,64,98.2588,49.8195
40,Novaria,119,276.1813,415.3598
40,Masha,87,630.5179,607.9629
40,Fredrinn,116,412.421,608.1661
40,Wanwan,88,26.1203,95.7675
42,Lapu-Lapu,36,617.6479,688.6874
42,Minotaur,18,266.2341,477.518
42,Valentina,110,349.7125,395.6457
42,Chou,25,460.692,597.7535
42,Novaria,119,274.2621,415.5015
42,Claude,64,100.1176,50.7438
42,Fanny,16,408.4648,530.1039
42,Masha,87,629.1695,608.3862
42,Wanwan,88,25.104,96.4223
44,Chou,25,460.8376,598.0466
44,Lapu-Lapu,36,615.9436,688.1456
44,Valentina,110,348.143,396.6294
44,Novaria,119,271.7859,415.9086
44,Fanny,16,404.6598,539.3314
44,Minotaur,18,267.6316,476.0969
44,Masha,87,629.0523,608.0295
44,Claude,64,102.2818,52.5097
44,Wanwan,88,24.2898,96.5399
46,Fanny,16,404.3087,547.387
46,Chou,25,461.4316,598.7925
46,Valentina,110,347.7033,396.6706
46,Novaria,119,271.5243,415.9141
46,Lapu-Lapu,36,614.2541,687.8175
46,Minotaur,18,267.9345,476.5457
46,Masha,87,628.899,608.2835
46,Claude,64,103.0864,52.8466
46,Wanwan,88,24.269,96.6789
48,Novaria,119,271.6463,415.0201
48,Valentina,110,347.6595,398.0982
48,Chou,25,460.8174,598.3267
48,Lapu-Lapu,36,612.3727,687.8825
48,Minotaur,18,268.5058,475.274
48,Fanny,16,400.1494,555.7354
48,Masha,87,629.5022,608.3134
48,Claude,64,103.252,54.5948
48,Wanwan,88,24.9728,96.2516
50,Valentina,110,346.7778,399.7343
50,Lapu-Lapu,36,610.4643,688.6653
50,Chou,25,460.7533,597.8781
50,Novaria,119,272.7171,413.978
50,Fanny,16,395.4386,570.1369
50,Minotaur,18,269.3009,473.5089
50,Claude,64,106.0809,56.5328
50,Masha,87,629.1586,608.4805
50,Wanwan,88,25.9084,94.0907
52,Valentina,110,346.3997,400.0228
52,Lapu-Lapu,36,609.8365,688.8173
52,Novaria,119,272.694,413.3961
52,Chou,25,461.1492,597.7172
52,Claude,64,106.6437,56.7844
52,Masha,87,629.0825,608.8809
52,Minotaur,18,269.7057,473.0018
52,Fanny,16,392.408,577.6767
